"spp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","65","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89"
"Acanthagenys_rufogularis",NA,NA,NA,"1","1","1",NA,"1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,"1","1","1","1","1","1","1","1","1",NA,"1","1","1",NA,"1","1",NA,"1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1",NA,"1","1","1",NA,"1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1"
"Acanthiza_apicalis",NA,NA,NA,"1","1","1",NA,"1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,"1","1","1","1",NA,"1","1","1",NA,"1","1",NA,"1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1","1","1",NA,"1","1",NA,NA,NA,"1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1"
"Acanthiza_chrysorrhoa",NA,NA,"1","1","1","1","1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1",NA,NA,"1","1","1","1","1","1","1","1",NA,"1","1","1","1","1",NA,"1","1","1","1","1",NA,"1","1",NA,"1"
"Acanthiza_ewingii",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1","1","1","1",NA,NA,NA,NA,NA
"Acanthiza_inornata",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"Acanthiza_iredalei",NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"Acanthiza_katherina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"Acanthiza_lineata",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"Acanthiza_nana",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA
"Acanthiza_pusilla",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,"1",NA,"1","1","1","1","1",NA,"1",NA,NA,NA
"Acanthiza_reguloides",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA
"Acanthiza_robustirostris",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1",NA,"1","1",NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"Acanthiza_uropygialis",NA,NA,NA,"1","1","1",NA,"1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1","1",NA,NA,"1","1","1",NA,"1","1","1",NA,"1","1",NA,NA,"1",NA,"1","1",NA,"1","1","1","1","1",NA,"1","1","1","1","1",NA,NA,"1","1",NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1"
"Acanthorhynchus_superciliosus",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"Acanthorhynchus_tenuirostris",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,"1",NA,"1",NA,"1","1","1","1","1",NA,"1",NA,"1",NA
"Acanthornis_magna",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1","1","1","1",NA,NA,NA,NA,NA
"Accipiter_cirrocephalus","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Accipiter_fasciatus","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Accipiter_novaehollandiae","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1","1","1","1","1",NA,"1","1",NA,"1","1","1","1","1",NA,NA,"1","1",NA,"1",NA,"1","1","1","1","1","1","1","1","1",NA,"1",NA
"Acridotheres_tristis",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,"1","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1","1","1",NA,"1",NA,NA,"1",NA,"1","1","1","1","1",NA,NA,NA,"1","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1",NA
"Acrocephalus_australis","1",NA,"1","1","1","1","1","1","1","1",NA,"1",NA,"1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1",NA,NA,"1","1",NA,NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1",NA,"1","1","1","1","1"
"Acrocephalus_stentoreus",NA,NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA
"Actitis_hypoleucos","1","1",NA,"1","1","1",NA,"1","1","1",NA,"1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1"
"Aegotheles_cristatus","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
